n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
20,2,0.27499999999999997,uniform,relative_difference_per_class,,,,0.2
40,2,0.17500000000000002,uniform,relative_difference_per_class,,,,0.1375
60,2,0.14166666666666666,uniform,relative_difference_per_class,,,,0.1166666666666667
80,2,0.11875000000000002,uniform,relative_difference_per_class,,,,0.09999999999999998
100,2,0.10500000000000004,uniform,relative_difference_per_class,,,,0.09000000000000002
120,2,0.09999999999999998,uniform,relative_difference_per_class,,,,0.08333333333333331
140,2,0.10357142857142859,uniform,relative_difference_per_class,,,,0.07857142857142857
160,2,0.09687499999999999,uniform,relative_difference_per_class,,,,0.071875
180,2,0.09444444444444444,uniform,relative_difference_per_class,,,,0.06944444444444448
200,2,0.08000000000000002,uniform,relative_difference_per_class,,,,0.065
220,2,0.08409090909090908,uniform,relative_difference_per_class,,,,0.06363636363636363
240,2,0.07499999999999998,uniform,relative_difference_per_class,,,,0.05833333333333332
260,2,0.06923076923076926,uniform,relative_difference_per_class,,,,0.05769230769230771
280,2,0.07499999999999998,uniform,relative_difference_per_class,,,,0.06073214285714287
300,2,0.07499999999999998,uniform,relative_difference_per_class,,,,0.05501666666666667
400,2,0.05250000000000002,uniform,relative_difference_per_class,,,,0.045012500000000004
600,2,0.04999999999999999,uniform,relative_difference_per_class,,,,0.035841666666666654
800,2,0.04249999999999998,uniform,relative_difference_per_class,,,,0.034999999999999976
1000,2,0.04249999999999998,uniform,relative_difference_per_class,,,,0.029510000000000015
20,3,0.31666666666666665,uniform,relative_difference_per_class,,,,0.23333333333333334
40,3,0.21666666666666667,uniform,relative_difference_per_class,,,,0.16666666666666669
60,3,0.16111111111111115,uniform,relative_difference_per_class,,,,0.13333333333333333
80,3,0.13333333333333336,uniform,relative_difference_per_class,,,,0.12083333333333332
100,3,0.12333333333333332,uniform,relative_difference_per_class,,,,0.10666666666666663
120,3,0.10555555555555557,uniform,relative_difference_per_class,,,,0.09444444444444444
140,3,0.12857142857142856,uniform,relative_difference_per_class,,,,0.08576190476190472
160,3,0.11458333333333337,uniform,relative_difference_per_class,,,,0.08335416666666669
180,3,0.1,uniform,relative_difference_per_class,,,,0.07777777777777778
200,3,0.08999999999999997,uniform,relative_difference_per_class,,,,0.07335000000000001
220,3,0.09696969696969696,uniform,relative_difference_per_class,,,,0.06969696969696967
240,3,0.08472222222222223,uniform,relative_difference_per_class,,,,0.06805555555555556
260,3,0.08205128205128204,uniform,relative_difference_per_class,,,,0.06539743589743591
280,3,0.08333333333333331,uniform,relative_difference_per_class,,,,0.06428571428571425
300,3,0.07666666666666669,uniform,relative_difference_per_class,,,,0.061111111111111116
400,3,0.06166666666666665,uniform,relative_difference_per_class,,,,0.05084166666666664
600,3,0.060555555555555585,uniform,relative_difference_per_class,,,,0.043338888888888885
800,3,0.04791666666666666,uniform,relative_difference_per_class,,,,0.039183333333333334
1000,3,0.04733333333333334,uniform,relative_difference_per_class,,,,0.03433666666666668
20,6,0.375,uniform,relative_difference_per_class,,,,0.26666666666666666
40,6,0.2625,uniform,relative_difference_per_class,,,,0.18341666666666662
60,6,0.19444444444444448,uniform,relative_difference_per_class,,,,0.14447222222222225
